Parallel_Time,Series_Time,Num1_Time,Num2_Time
2.72,3.344,0.6,2.744
0.5,0.706,0.201,0.504
0.411,0.787,0.371,0.415
0.159,0.295,0.137,0.157
0.549,0.712,0.544,0.167
2.658,2.701,0.022,2.679
2.741,5.351,2.573,2.777
1.128,2.084,1.006,1.077
1.092,2.262,1.092,1.168
0.022,0.039,0.02,0.018
0.399,0.767,0.369,0.398
0.045,0.086,0.042,0.044
0.147,0.278,0.134,0.144
2.058,4.02,1.942,2.076
0.094,0.177,0.086,0.091
1.856,3.906,1.855,2.049
0.162,0.335,0.16,0.175
0.442,0.857,0.413,0.443
0.083,0.162,0.077,0.084
0.217,0.419,0.2,0.218
0.047,0.094,0.044,0.048
0.534,1.043,0.498,0.545
0.773,1.497,0.719,0.777
1.375,2.963,1.432,1.531
0.054,0.105,0.051,0.053
0.386,0.747,0.358,0.388
0.143,0.274,0.131,0.142
0.016,0.025,0.012,0.012
0.534,1.052,0.499,0.552
0.067,0.129,0.061,0.067
0.092,0.172,0.081,0.09
